SMILES,docking_score_kcal_mol,selectivity_note
Cc1c[nH]nc1C(=O)N[C@H]1CCCN(c2ccnc(-c3nn[nH]n3)n2)C1,-7.026,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCCN(c2cncc(-c3nn[nH]n3)n2)C1,-7.035,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1cnnc(O)c1,-7.205,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1)[C@H]1CCc2nn[nH]c2C1,-7.483,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1ncccc1-c1nn[nH]n1)c1nc2ncccn2n1,-7.091,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C1CC[C@H](C(=O)N[C@H]2CCCN(c3cncc(-c4nn[nH]n4)n3)C2)CN1,-7.497,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1ccn2nnnc2c1,-7.806,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@H]1CCCN(c2ccnc(-c3nn[nH]n3)n2)C1,-7.174,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nc(C(=O)NC[C@H]2COCCN2c2cncc(-c3nn[nH]n3)n2)nn1-c1nc[nH]n1,-7.772,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1nc2ncccn2n1,-7.801,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CCN(c2cncc(-c3nn[nH]n3)n2)CC1)[C@@H]1CCCN1,-7.544,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cnn2ncccc12)N1CC[C@H]2OCCN(c3cncc(-c4nn[nH]n4)n3)[C@H]2C1,-7.24,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1ccc(-c2nn[nH]n2)[nH]1)N1CC[C@H]2[C@H](CCN2c2cncc(-c3nn[nH]n3)n2)C1,-8.014,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1nc2ncccn2n1)N1CC[C@H]2OCCN(c3ccnc(-c4nn[nH]n4)n3)[C@H]2C1,-7.823,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1C(=O)NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1,-7.597,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1CN(c2ccnc(-c3nn[nH]n3)n2)CCO1)c1ccnc2[nH]nnc12,-7.861,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@]1(O)CCN(c2cncc(-c3nn[nH]n3)n2)C1)c1ccnc2[nH]nnc12,-7.775,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C1)[C@H]1CCc2nn[nH]c2C1,-7.197,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1c[nH]c(-c2nn[nH]n2)c1,-7.341,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(c1cnc2[nH]c(O)nc2c1)N1CCN(c2cncc(-c3nn[nH]n3)n2)CC1,-7.733,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CCN(c2ccnc(-c3nn[nH]n3)n2)C1)c1cnnc(O)c1,-7.275,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cn1cc(C(=O)N[C@H]2CC[C@@H](CNC(=O)c3cc(-c4nn[nH]n4)c[nH]3)C2)c(O)nc1=O,-7.364,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCO1)c1ccnc2[nH]nnc12,-7.744,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NCC(=O)N1CC[C@H]2[C@@H]1CCCN2C(=O)c1cc(-c2nn[nH]n2)c[nH]1)c1ncccc1O,-7.561,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)N[C@@H]1CCCN(c2ccnc(-c3nn[nH]n3)n2)C1,-7.484,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1CC(=O)NCC[C@H]1CN(c2cncc(-c3nn[nH]n3)n2)CCS1(=O)=O,-7.261,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nnc(CC(=O)NC[C@H]2CN(c3cncc(-c4nn[nH]n4)n3)C[C@H]2O)o1,-7.54,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
Cc1nonc1C(=O)N[C@H]1CCN(c2cncc(-c3nn[nH]n3)n2)C[C@H]1O,-7.275,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
O=C(NC[C@H]1COCCN1c1cncc(-c2nn[nH]n2)n1)c1cnc2[nH]nnc2c1,-7.77,молекула не найдена в ChEMBL (новая) — посторонняя активность неизвестна
